File, Cycle, Orbit, Date, Time, image_coords, Longitude, Latitude, IWV, IWV_average, Excluded_pixels (%), IWV error   
S3A_OL_2_LFR____20200704T083510_20200704T083810_20200705T131510_0179_060_121_2340_LN1_O_NT_002.SEN3, 060,121,2020-07-04 08:37:03.197619, (2172, 2541), 23.7796818931, 35.3377845486, 10.799999, 16.214671190521845, 0, 0.59999996
S3A_OL_2_LFR____20200705T080859_20200705T081159_20200706T123131_0179_060_135_2340_LN1_O_NT_002.SEN3, 060,135,2020-07-05 08:11:08.122572, (2531, 367), 23.7796818931, 35.3377845486, 16.199999, 20.861705318573982, 0, 0.59999996
S3A_OL_2_LFR____20200707T085736_20200707T090036_20200708T125319_0179_060_164_2340_LN1_O_NT_002.SEN3, 060,164,2020-07-07 08:59:11.940331, (1767, 4380), 23.7796818931, 35.3377845486, 26.099998, 28.7932567453563, 44, 1.1999999
S3A_OL_2_LFR____20200708T083125_20200708T083425_20200709T121350_0179_060_178_2340_LN1_O_NT_002.SEN3, 060,178,2020-07-08 08:33:21.434543, (2230, 2232), 23.7796818931, 35.3377845486, --, --, 100, --
S3B_OL_2_LFR____20200717T085918_20200717T090218_20200718T132336_0179_041_164_2340_LN1_O_NT_002.SEN3, 041,164,2020-07-17 09:00:52.419177, (1732, 4530), 23.7796818931, 35.3377845486, 17.999998, 22.374192246785398, 0, 0.9
S3B_OL_2_LFR____20200718T083307_20200718T083607_20200719T124303_0179_041_178_2340_LN1_O_NT_002.SEN3, 041,178,2020-07-18 08:35:02.357020, (2206, 2382), 23.7796818931, 35.3377845486, 13.799999, 16.992610766661898, 0, 0.59999996
S3B_OL_2_LFR____20200719T080656_20200719T080956_20200720T120730_0179_041_192_2340_LN1_O_NT_002.SEN3, 041,192,2020-07-19 08:09:06.882224, (2557, 211), 23.7796818931, 35.3377845486, 13.799999, 16.235586912649357, 0, 0.59999996
S3B_OL_2_LFR____20200811T081041_20200811T081341_20200812T132255_0179_042_135_2340_LN1_O_NT_002.SEN3, 042,135,2020-08-11 08:12:49.470921, (2514, 524), 23.7796818931, 35.3377845486, 9.9, 14.80957246397338, 0, 0.29999998
S3B_OL_2_LFR____20200813T085918_20200813T090218_20200814T134754_0179_042_164_2340_LN1_O_NT_002.SEN3, 042,164,2020-08-13 09:00:52.502376, (1733, 4530), 23.7796818931, 35.3377845486, 16.499998, 20.23298524941912, 0, 0.9
S3B_OL_2_LFR____20200814T083307_20200814T083607_20200815T125936_0179_042_178_2340_LN1_O_NT_002.SEN3, 042,178,2020-08-14 08:35:02.439421, (2207, 2382), 23.7796818931, 35.3377845486, 14.4, 17.82341025744792, 6, 0.59999996
S3B_OL_2_LFR____20200825T084805_20200825T085105_20200826T140520_0179_042_335_2340_LN1_O_NT_002.SEN3, 042,335,2020-08-25 08:49:48.648533, (1952, 3611), 23.7796818931, 35.3377845486, 9.599999, 13.888656803770195, 0, 0.59999996
S3B_OL_2_LFR____20200826T082154_20200826T082454_20200827T132834_0180_042_349_2340_LN1_O_NT_002.SEN3, 042,349,2020-08-26 08:23:56.256096, (2374, 1457), 23.7796818931, 35.3377845486, 20.4, 24.65556566474589, 0, 0.9
S3B_OL_2_LFR____20200829T084420_20200829T084720_20200830T130458_0180_043_007_2340_LN1_O_NT_002.SEN3, 043,007,2020-08-29 08:46:07.036039, (2020, 3305), 23.7796818931, 35.3377845486, 8.4, 12.377418630701198, 0, 0.59999996
S3B_OL_2_LFR____20200910T083306_20200910T083606_20200911T132023_0179_043_178_2340_LN1_O_NT_002.SEN3, 043,178,2020-09-10 08:35:01.282023, (2212, 2384), 23.7796818931, 35.3377845486, 17.999998, 24.770922902852547, 38, 0.59999996
S3B_OL_2_LFR____20200911T080655_20200911T080955_20200912T124301_0179_043_192_2340_LN1_O_NT_002.SEN3, 043,192,2020-09-11 08:09:05.685065, (2562, 214), 23.7796818931, 35.3377845486, 15.299999, 18.438292319767186, 0, 0.59999996
S3B_OL_2_LFR____20200913T085532_20200913T085832_20200914T130047_0179_043_221_2340_LN1_O_NT_002.SEN3, 043,221,2020-09-13 08:57:09.928825, (1814, 4227), 23.7796818931, 35.3377845486, --, 24.928035914340867, 88, --
S3B_OL_2_LFR____20200914T082921_20200914T083221_20200915T122034_0180_043_235_2340_LN1_O_NT_002.SEN3, 043,235,2020-09-14 08:31:18.997118, (2270, 2074), 23.7796818931, 35.3377845486, 11.999999, 19.421489279232983, 39, 0.59999996
S3B_OL_2_LFR____20200917T085147_20200917T085447_20200918T134309_0179_043_278_2340_LN1_O_NT_002.SEN3, 043,278,2020-09-17 08:53:28.220504, (1885, 3918), 23.7796818931, 35.3377845486, 22.199999, 26.589176340728347, 0, 1.1999999
